Quantile,PrecipMean,PrecipVar,TempMean,TempVar
90.0,0.13008047343548465,0.0017251723432720103,0.03118847083804041,0.00016241336176602212
90.5,0.13160132910450678,0.0017809992526107619,0.031202269870084294,0.0001665276756285496
91.0,0.13324825095379175,0.0018512262650337973,0.03120913314171194,0.00017054153266841826
91.5,0.13475067612437758,0.0019157485720756287,0.031192076353997174,0.00017485419296811165
92.0,0.13656831325620417,0.0020025492603753547,0.03119823961898371,0.00017977140147566392
92.5,0.13848786660406584,0.002092437955307923,0.031234273745323497,0.00018479870795860864
93.0,0.14044714987408075,0.0021987660985725334,0.03120561224840014,0.00018927482591645482
93.5,0.1425297544955384,0.0023084000938584184,0.03120521248714759,0.00019461823941286543
94.0,0.14488532312620117,0.00245132650121219,0.03119808681952218,0.0002007177790634923
94.5,0.1474672420380908,0.0026077049162251055,0.03122196656672377,0.0002066037075818361
95.0,0.15014017273369024,0.0028075117305616706,0.031167997024706465,0.00021305406767239385
95.5,0.15314324412809188,0.003026818610041432,0.031132599218332047,0.00021896491218451365
96.0,0.15668974648815426,0.0033282326850114447,0.031090321751038656,0.00022513875528285047
96.5,0.1605025772406095,0.0036686691178653575,0.031068009841848244,0.00023123394241904684
97.0,0.16520524653820604,0.004161665071076704,0.03104793603710456,0.00023966945702001647
97.5,0.1704125992373064,0.004758576223341541,0.03101788587436366,0.0002480164067651007
98.0,0.17705449609660487,0.005712552732995747,0.030866964378675504,0.00025588833765986216
98.5,0.18484871831107977,0.007069150654630577,0.030727095926732628,0.0002682428229217073
99.0,0.2056597311252376,0.010755614040072818,0.0318483317291835,0.0003168894210703523
99.5,0.23077986046038484,0.018465682332256227,0.032195241151099646,0.000376098239740181
