Quantile,PrecipMean,PrecipVar,TempMean,TempVar
90.0,0.14737846409189317,0.0016128542347137549,0.036142311367927005,0.00032340456835186656
90.5,0.14832793941667335,0.0016587766648518492,0.03625739810026322,0.0003301838490849481
91.0,0.14943658019630524,0.0017202793041033253,0.036407267527256114,0.00033831547440925537
91.5,0.15035744144221314,0.0017764280717406126,0.036500327479697316,0.0003451920736350104
92.0,0.15146043107857765,0.0018479725509877184,0.03663931362436969,0.0003539598267655608
92.5,0.15259432140898066,0.0019191609680065534,0.036779955829198144,0.00036236150787097564
93.0,0.15386307948344846,0.0020085735167487146,0.036925809126837864,0.0003717825673128178
93.5,0.1551110962580989,0.0020979311397577058,0.03708267748391238,0.0003807225273048031
94.0,0.15642715761553508,0.0022162467312468012,0.03724372270754201,0.00039031052244764704
94.5,0.15771668318293414,0.0023422390089552782,0.03742468179949503,0.00040018812723631973
95.0,0.1592315633680323,0.002516187921212538,0.03763241310933293,0.0004113070869128289
95.5,0.16080522078443396,0.0027098442836839703,0.037840734794435525,0.00042113682340802407
96.0,0.16263657156615705,0.002982525774259279,0.038062546662961376,0.0004321099648436977
96.5,0.16453567161395255,0.003298509901608286,0.03830295326813334,0.0004429377694724051
97.0,0.16688756393436632,0.0037608442320376154,0.038542723934518186,0.0004566212536082238
97.5,0.169675138360183,0.004340790040536812,0.038794061203222055,0.00046772738801225425
98.0,0.17315010716866563,0.005294764514637352,0.03898643054340004,0.0004789143632831518
98.5,0.1775798585337434,0.006690190496496136,0.03917788071104915,0.000492032583515895
99.0,0.19291148678075856,0.010254104618871496,0.040728501789909034,0.0005623247222560164
99.5,0.21551517115222815,0.018324578778003704,0.04157428786507015,0.000631553753502116
