Quantile,PrecipMean,PrecipVar,TempMean,TempVar
90.0,0.16275596596829198,0.0019853474519344067,0.040007910952745744,0.0005100438942632415
90.5,0.16436151016105943,0.0020570874631278377,0.04006688746693005,0.0005175452840082555
91.0,0.1662693891333207,0.0021430148260064255,0.04018066092098857,0.0005265785596373439
91.5,0.1679422206297427,0.002227359148651413,0.04021093803506862,0.0005342251942370238
92.0,0.16998303396332137,0.0023288674626130447,0.04030634055133652,0.0005445799555548282
92.5,0.1719724042402194,0.002437268881852065,0.0403500486961641,0.000553559046407203
93.0,0.17423286159110254,0.0025655809498707546,0.040426295828023824,0.0005642899710710333
93.5,0.1766923677093624,0.002712355231337178,0.04050658400468133,0.0005765078297076606
94.0,0.17950870549674414,0.0028871334666153315,0.04061426649984598,0.0005904449733034718
94.5,0.1822820164339095,0.003081767729463877,0.04066734143321538,0.0006034888234555908
95.0,0.18552070022126513,0.0033169982469078,0.040763923894998305,0.0006189108599092246
95.5,0.18917654348618174,0.003600907671165927,0.040853155657342925,0.0006347553284676443
96.0,0.19338699676780663,0.003953848343569627,0.04094833129193014,0.0006536293404028668
96.5,0.19817720055622054,0.004386917603783154,0.04103763320721411,0.000673779456601941
97.0,0.20396424447005018,0.0049658682029735494,0.04111280738017708,0.0006982342506504996
97.5,0.21103656280405464,0.005747913731762592,0.04118322287184858,0.0007239346869137455
98.0,0.21981337281256008,0.0068614341021039004,0.04121117890360045,0.0007572916305230013
98.5,0.2317164709503789,0.008636584294393219,0.04135700360423942,0.0008017066614279703
99.0,0.2513544155103814,0.012040642363079323,0.04173514485830364,0.0008706938908686735
99.5,0.29508924990868113,0.022159656657212912,0.04322490383307848,0.0010748210100776164
